"from","to","path","graphs","n_graphs"
"Artificial Lighting","Reduced Reproductive Success","Artificial Lighting, Change in Movement Paths, Altered Energy Cost, Reduced Reproductive Success","Site Survey, Site Preparation, Electricity Generation, Routine Maintenance, Full Removal, Partial Removal",6
"Artificial Lighting","Reduced Reproductive Success","Artificial Lighting, Disorientation, Heightened Collision Risk, Collision Mortality, Reduced Reproductive Success","Site Survey, Site Preparation, Electricity Generation, Routine Maintenance, Full Removal, Partial Removal",6
"Artificial Lighting","Reduced Reproductive Success","Artificial Lighting, Disorientation, Heightened Collision Risk, Lower Body Condition, Reduced Reproductive Success","Site Survey, Site Preparation, Electricity Generation, Routine Maintenance, Full Removal, Partial Removal",6
"Artificial Lighting","Reduced Reproductive Success","Artificial Lighting, Heightened Collision Risk, Collision Mortality, Reduced Reproductive Success","Site Survey, Site Preparation, Electricity Generation, Routine Maintenance, Full Removal, Partial Removal",6
"Artificial Lighting","Reduced Reproductive Success","Artificial Lighting, Heightened Collision Risk, Lower Body Condition, Reduced Reproductive Success","Site Survey, Site Preparation, Electricity Generation, Routine Maintenance, Full Removal, Partial Removal",6
"Artificial Lighting","Reduced Survival","Artificial Lighting, Change in Movement Paths, Altered Energy Cost, Reduced Survival","Site Survey, Site Preparation, Electricity Generation, Routine Maintenance, Full Removal, Partial Removal",6
"Artificial Lighting","Reduced Survival","Artificial Lighting, Disorientation, Heightened Collision Risk, Collision Mortality, Reduced Survival","Site Survey, Site Preparation, Electricity Generation, Routine Maintenance, Full Removal, Partial Removal",6
"Artificial Lighting","Reduced Survival","Artificial Lighting, Disorientation, Heightened Collision Risk, Lower Body Condition, Reduced Survival","Site Survey, Site Preparation, Electricity Generation, Routine Maintenance, Full Removal, Partial Removal",6
"Artificial Lighting","Reduced Survival","Artificial Lighting, Heightened Collision Risk, Collision Mortality, Reduced Survival","Site Survey, Site Preparation, Electricity Generation, Routine Maintenance, Full Removal, Partial Removal",6
"Artificial Lighting","Reduced Survival","Artificial Lighting, Heightened Collision Risk, Lower Body Condition, Reduced Survival","Site Survey, Site Preparation, Electricity Generation, Routine Maintenance, Full Removal, Partial Removal",6
"Artificial Structures","Reduced Reproductive Success","Artificial Structures, Roosting/Perching Opportunities, Heightened Collision Risk, Collision Mortality, Reduced Reproductive Success","Site Survey, Site Preparation, Infrastructure Installation, Routine Maintenance, Full Removal, Partial Removal",6
"Artificial Structures","Reduced Reproductive Success","Artificial Structures, Roosting/Perching Opportunities, Heightened Collision Risk, Lower Body Condition, Reduced Reproductive Success","Site Survey, Site Preparation, Infrastructure Installation, Routine Maintenance, Full Removal, Partial Removal",6
"Artificial Structures","Reduced Reproductive Success","Artificial Structures, Roosting/Perching Opportunities, Reduced Reproductive Success","Site Survey, Site Preparation, Infrastructure Installation, Routine Maintenance, Full Removal, Partial Removal",6
"Artificial Structures","Reduced Survival","Artificial Structures, Roosting/Perching Opportunities, Heightened Collision Risk, Collision Mortality, Reduced Survival","Site Survey, Site Preparation, Infrastructure Installation, Routine Maintenance, Full Removal, Partial Removal",6
"Artificial Structures","Reduced Survival","Artificial Structures, Roosting/Perching Opportunities, Heightened Collision Risk, Lower Body Condition, Reduced Survival","Site Survey, Site Preparation, Infrastructure Installation, Routine Maintenance, Full Removal, Partial Removal",6
"Artificial Structures","Reduced Survival","Artificial Structures, Roosting/Perching Opportunities, Reduced Survival","Site Survey, Site Preparation, Infrastructure Installation, Routine Maintenance, Full Removal, Partial Removal",6
